BookId,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
203444,Student Manual for the Art of Electronics,Thomas C. Hayes,"Hayes, Thomas C.",Paul Horowitz,"=""0521498473""","=""9780521498470""",0,4.27,,,,,1989,,2016/07/04,"to-read, ghoomakad","to-read (#24), ghoomakad (#23)",to-read,,,,,,,0,,,,,
15956687,The Time Keeper,Mitch Albom,"Albom, Mitch",,"=""1847442250""","=""9781847442253""",0,3.84,Sphere,Hardcover,240,2012,2012,,2016/07/04,"to-read, ghoomakad","to-read (#23), ghoomakad (#22)",to-read,,,,,,,0,,,,,
1541943,Live Flesh,Ruth Rendell,"Rendell, Ruth",,"=""0099502704""","=""9780099502708""",0,3.73,Arrow,Paperback,272,1995,1986,,2016/07/04,"to-read, ghoomakad","to-read (#22), ghoomakad (#21)",to-read,,,,,,,0,,,,,
10127019,The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses,Eric Ries,"Ries, Eric",,"=""0307887898""","=""9780307887894""",0,4.02,Crown Business,Hardcover,299,2011,2011,,2016/07/04,"to-read, ghoomakad","to-read (#20), ghoomakad (#19)",to-read,,,,,,,0,,,,,
6392829,The Peacock Throne,Sujit Saraf,"Saraf, Sujit",,"=""0340899727""","=""9780340899724""",0,3.47,Not Avail,Unknown Binding,754,2008,2007,,2016/07/04,"to-read, ghoomakad","to-read (#21), ghoomakad (#20)",to-read,,,,,,,0,,,,,
6548414,The Winner Stands Alone,Paulo Coelho,"Coelho, Paulo",,"=""""","=""9780007318681""",0,3.37,HarperCollins Publishers,Paperback,373,2009,2008,,2016/07/04,"to-read, ghoomakad","to-read (#19), ghoomakad (#18)",to-read,,,,,,,0,,,,,
25685583,Family Of The Empire,Sheelagh Kelly,"Kelly, Sheelagh",,"=""""","=""9780007879793""",0,3.00,Harper Collins,Paperback,597,2002,2001,,2016/07/04,"to-read, ghoomakad","to-read (#18), ghoomakad (#17)",to-read,,,,,,,0,,,,,
359158,Back When We Were Grownups,Anne Tyler,"Tyler, Anne",,"=""0099422549""","=""9780099422549""",0,3.50,Vintage,Paperback,288,2002,2001,,2016/07/04,"to-read, ghoomakad","to-read (#17), ghoomakad (#16)",to-read,,,,,,,0,,,,,
884296,Being Indian,Pavan K. Varma,"Varma, Pavan K.",,"=""0143033425""","=""9780143033424""",0,3.70,Penguin India,Paperback,238,2005,2004,,2016/07/04,"to-read, ghoomakad","to-read (#16), ghoomakad (#15)",to-read,,,,,,,0,,,,,
15104,Blackberry Wine,Joanne Harris,"Harris, Joanne",,"=""0552998001""","=""9780552998000""",0,3.76,Black Swan,Paperback,334,2001,1999,,2016/07/04,"to-read, ghoomakad","to-read (#15), ghoomakad (#14)",to-read,,,,,,,0,,,,,
56627,Stumbling on Happiness,Daniel Todd Gilbert,"Gilbert, Daniel Todd",,"=""1400077427""","=""9781400077427""",0,3.79,Vintage,Paperback,263,2007,2006,,2016/07/04,"ghoomakad, to-read","ghoomakad (#13), to-read (#14)",to-read,,,,,,,0,,,,,
